comments,samsung,apple,token,samsung/manually,apple/manually
سلام دوستان من برای تبلتم هر محافظ صفحه ای میگیرم حالت ضد انعکاس فابریک صفحه نمایشو از بین میبره و آینه ای میکنه که کارایی و زییایی صفحه نمایشو از بین میبره.دوستان مارک خوب سراغ دارن که ضد انعکاس باشه البته از اون مات کننده ها نباشه.تشکر اگه جواب بدین,Neutral,Neutral,175,Neutral,Neutral
"» در پاسخ به نظر اصغر م به تاریخ 1395/8/8 (برای نمایش نظر کلیک کنید...) سلام. امکان دانلود از طریق برنامه های دانلودر که به راحتی از اپ استور قابل دریافت هستند وجود داره، امکان تماشای فیلم با زیرنویس فارسی هم با استفاده از یک پلیر مثل VLC وجود داره. اگر باز هم سوالی بود مطرح کنید حتما به این صفحه سر میزنم و جواب خواهم داد.",Neutral,Neutral,213,Neutral,Neutral
» در پاسخ به نظر l3in 7 به تاریخ 1395/8/2 (برای نمایش نظر کلیک کنید...) من سه ساله ایپد ایر دارم مدل 4 جی . به نظرم الکی پول 4 جی ندین و مدل وای فای رو بگیرین . حافظه بیشتر به کارتون میاد تا 4 جی,Neutral,Neutral,129,Neutral,Neutral
سلام امکان دانلود فیلم و استفاده از زیر نویس فارسی وجود دارد؟,Neutral,Neutral,41,Neutral,Neutral
"با سلامدوستان من میخوام یدونه ایپد پرو بگیرمحالا خواستم بدونم که بنظرتون مدل 32 گیگ 4g مناسب تره یا 128 وای فای ؟ واقعا کمبود حافظه بیشتر اذیت میکنه یا نبود سیم کارت و GPS ؟ با توجه به این که گوشی مدل بالایی دارم و میتونم اینترنت اون رو با هات اسپات شیر کنم، آیا باز هم اذیت کنندس ؟ نداشتن GPS چقدر میتونه آزار دهنده باشه؟ چونه برای مسافرت رفتن و بیرون رفتن واقعا جی پی اس خیلی روی یک صفحه بزرگ کمک میکنه چون مدل 128 4g دیگه اصلا نمیارزه و اگه بخوام اون همه پول بدم میرم یه سرفیس پرو خوب میگیرم ..!",Neutral,Agree,363,Neutral,Neutral
"» در پاسخ به نظر Reza N به تاریخ 1395/1/20 (برای نمایش نظر کلیک کنید...) سلاممن يه ساله كه اير2 دارمروي همه اپ و بازي ها كاملا روون كار ميكنهدوربين ايپد اير2 فلش نداره و با اين حال من تا بحال به مشكلي بر نخوردم اگه فلش دوربين خيلي برات مهمه پرو بگير ولي به نظر من ارزششو نداره بخاطر فلش و دوربين بهتر، اينقد پول بيشتر بدي!چون يه تبلت به دوربين انچناني نيازي نداره و كيفيت 4k دوربين ايپد پرو شايد يه ترفند باشه براي جذب مشتري و انچنان كاربردي نيست .اير2 در مورد پردازش و سخت افزار به اندازه كافي عالي هست (حتي بيشتر از كافي!!) ، فك نكنم نيازي به سيستم قويتري باشه! هركي از ايپد اير 2 و يا بصورت كلي از ايپد سوالي داشت، تلگرام در خدمتم meHrdad7512@",Neutral,Neutral,444,Neutral,Agree
» در پاسخ به نظر seyed Arshia n به تاریخ 1395/5/4 (برای نمایش نظر کلیک کنید...) تا اونجا که ن میدونم پرو بهترین تبلت دنیاس.چه کیفیت نمایشگر و مهمتر دوربینr4k.و تنها تبلتی که دوربینه اصلیه برند رو صاحبه همینه و هیچ کمپانیه دیگه ای دوربین پرچمدارشو نمیده برای تبلت.هزینه قلم هم زیاده کاملا درسته ولی کیفیته قلم با قلم های معروف دیگه قابل مقایسه نیست و برتریش رو باید ببینی اقلا فیلم هاش رو میتونین تو گوگل و سایت اپل دات کام پیدا کنین,Neutral,Agree,307,Neutral,Agree
من که راضی بودم,Neutral,Neutral,11,Neutral,Neutral
"» در پاسخ به نظر seyed Arshia n به تاریخ 1395/5/4 (برای نمایش نظر کلیک کنید...) منم تا حالا نداشتم، ولی خب روی کاغذ میشه گفت برای کسی که دوربین براش مهمه مناسب نیست، چون یع دوربین 12 مگاپیکسل و یه صفحه نمایش ب این اندازه😳، تراکم پیکسل هم زیاد به دل نمیشینه، در کل میتونید بیشتر تحقیق کنید.",Disagree,Neutral,207,Neutral,Neutral
سلام دوستان من تاحالا آی پد نخریدم اطلاعی ندارم زیاد. میخواستم یکی راهنمایی کنه منو.یه آی پد با دوربین قوی میخوام,Neutral,Neutral,81,Neutral,Neutral
"» در پاسخ به نظر Reza N به تاریخ 1395/1/18 (برای نمایش نظر کلیک کنید...) اصلن درگیر سخت افزارش نشو، اصلن با ایفون بستن برنامه ها یادت میره، من یعضی وقتها نگاه میکنم، بیشتراز 50 تا اپ بازه، بازم گوشی کاملن روون کار میکنه",Neutral,Neutral,155,Neutral,Neutral
» در پاسخ به نظر اپسا م به تاریخ 1395/4/6 (برای نمایش نظر کلیک کنید...) مرسی ممنون,Neutral,Neutral,58,Neutral,Neutral
» در پاسخ به نظر Arman C به تاریخ 1395/4/4 (برای نمایش نظر کلیک کنید...) مرسی اقا ارمان بابت پاسخ دادنتون,Neutral,Neutral,70,Neutral,Neutral
» در پاسخ به نظر El I به تاریخ 1395/2/20 (برای نمایش نظر کلیک کنید...) سیستم عامل A9x ??? سیستم عامل آیپد پرو Ios هست,Neutral,Neutral,76,Neutral,Neutral
» در پاسخ به نظر mehrnosh s به تاریخ 1395/4/3 (برای نمایش نظر کلیک کنید...) هر سیستم عاملی به یک میزان خاصی رم نیاز داره توی دیوایس های اپل با رم 2 و 3 میشه خیلی کارها با کیفیت و سرعت و دقت بالا انجام داد منتها توی ویندوز برای انجام همون کار باید حداقل رمتون4 باشه و برای کارای سنگین رم 6 به بالا باید استفاده کرد,Neutral,Neutral,207,Neutral,Neutral
» در پاسخ به نظر mehrnosh s به تاریخ 1395/4/3 (برای نمایش نظر کلیک کنید...) سلام دوست عزیزخوب فرقشون زیاد محسوس نیست مخصوصا توی IOSشما اگه بیشار کار تدوین فیلم انجام میدید چرا اومدید سراغ ایپد؟؟؟اپل محدودیتهای زیادی دارهخب برید یه مایکروسافت سرفیس پرو بگیرید.البته تاکید میکنم رم بالای 4گیگ بگیرید.چون توی ویندور خیلی مهم هستش موفق باشید,Neutral,Disagree,243,Neutral,Disagree
سلام.دوستان میشه بهم کمک کنید.بگید رم2و رم3ایا خیلی فرقشونه؟من کار گرافیکی انجام نمیدم.بیشترتدوین فیلم میکنم.,Neutral,Neutral,85,Neutral,Neutral
"» در پاسخ به نظر Saeed K به تاریخ 1395/3/10 (برای نمایش نظر کلیک کنید...) خیلی قشنگ گفتی ..دم ساقیش گرم ،،،،",Neutral,Neutral,78,Neutral,Neutral
» در پاسخ به نظر El I به تاریخ 1395/2/20 (برای نمایش نظر کلیک کنید...) دمه ساقیت گرم,Neutral,Neutral,58,Neutral,Neutral
» در پاسخ به نظر El I به تاریخ 1395/2/20 (برای نمایش نظر کلیک کنید...) باسلام و احترامدوست عزیز من خیلی خودمو کنترل کردم تا جواتون ندم امانشداول از همه لطف کنید بگید شما در کدوم از این نقطه کره خاکی زندگی میکنید؟بعد تمامی مواردی ک فرمودید همه انها الهام گرفته از خود سایت سازنده بودشما که ودتون رو سرتذ و برتر میدونید چرا فرق بین os و cpu رو نمیدونیدودر اخر [چرا] انقدر سنگ اپل رو به سینه میزنیدبد نیست یکم رئالیسم فکر کنید از فضای icloud بیاید بیرون.موفق باشید.,Neutral,Disagree,322,Neutral,Disagree
» در پاسخ به نظر El I به تاریخ 1395/2/20 (برای نمایش نظر کلیک کنید...) سلام من خودم الان تبلت سونی دارم و واستادم تا قیمت این تبلت برسه به قیمت اصلش این همه هم تعصب ندارم ... در ضمن ما سیستم عامل AX9 نداریم یه IOS 9.3 بیشتر نیست که همه این چیزا هم که گفتید لایو فوتو لنز فوق پیشرفته والله همش من تو 6S دارم که pro 9.7 ارتقا یافته air2 هست . اندروید هم آنچنان پیش پا افتاده نیست یکی از دلایل که مردم زیاد سمت اندروید میرن ازادی سیستم عملش . یا علی,Neutral,Neutral,311,Neutral,Neutral
سلام. خیلی وقته که ایرانی ها توی فضای اندروید غرق شدن. و متاسفانه از تکنولوژی روز دنیا عقب افتادن. فقط خواستم پیشنهاد کنم متفاوت فکر کنید. دنیا در حال پیشرفت... و اگر دلتون خواست یه پیج مرجع از سایت http://www.apple.com/ipad-pro موجوده تا شما عجوبه ی ساخت دست بشر رو ببینید. در ضمن قدرت این مدل از آیپد ها بسیار بالا تراز آیپد ایر ۲ و مینی ۴ بوده ... در مورد سوال دوستان باید اطلاعاتی کامل رو ذکر کنم: سیستم عامل A9x پرقدرت و بی نظیر. در مقایسه با آیپد مینی ۴ و ایر ۲ :CPU: 2.4x پر سرعت تر شدهGraphics: 4.3x بیشتر از سیستم گرافیک ایر ۲ و مینی ۴.... دارای سیستم لایو فوتو و عکس چند ثانیه ای همراه با صدا..دارای فوکوس و لنز فوق پیشرفته ...سیستم سخن گوی صوتی و تغییر صدا با هر وویسی که شما میخواهید!!!!!! و قابلیت 4G فراتراز حد موجود در ایران و و و و خیلی چیز هایی که شما تصورشو هم نمیتونید بکنید... و این اطلاعات تبلیغ نبوده و حاصل تجربه من از کاربردهای فوق العاده این محصوله....بدرودو در ضمن این تنها یک تبلت نیس یه کامپیوتر با قلم و کیبورد مجزاست....,Disagree,Agree,650,Neutral,Agree
آیا این تبلت میتونه قلم و کیبورد ساپورت کنه مثه نسخه 12 اینچی یا نع ؟,Neutral,Neutral,54,Neutral,Neutral
"» در پاسخ به نظر میثم م به تاریخ 1395/1/5 (برای نمایش نظر کلیک کنید...) اتفاقا امکاناتش برا اولین بار رو دسته ایفونه و مهمترین برتریش هیچ چیز هم نداشته باشهios,اندروید تو این سطحه امکانات و حافظه و پردازنده روز اول شبیه کادو شوخی ها هستش که باز میکنی عروسک با فنر میپره 😅اندروید روز اول فنرهاش میزد بیرون البته خوبم هست دیگه باتری removable نمیشد،ios عزیزم همه ی ایفونه وگرنه دوربینه و پنل و حافظه که مارو میبرد کره جنوبی،یادت نره",Neutral,Disagree,300,Neutral,Agree
راستی یه سوال خیلی خیلی مهم دارم لطفا افرادی که ایپد ایر ۲ دارن . بگن فرق بین این ایپد با ایر ۲ چیه... ارزش داره بیشتر پول بدو و اینو بگیرم ؟؟,Neutral,Neutral,103,Neutral,Neutral
اپل همینه دیگه.....گرونه...جیب ثروتمندارو هدف میگیره...البته با کیف عالی,Disagree,Neutral,49,Neutral,Agree
رم ١ هم برا محصولات اپل كافيهولي اين رمش ٢ نيست و ٤ گيگه,Disagree,Neutral,45,Neutral,Neutral
آخه چه خبره بی انصافا؟؟؟؟کجاست عدالت علی(ع)؟؟؟؟با دلار 3500هم حساب کردم شد 3 و شیشصد نسخه 256 4g طلایی!!!!!,Neutral,Disagree,90,Neutral,Neutral
یه سوال مهم دارم. دو گیگ رم برای این ایپد کم نیست ؟؟ من تابحال اپل نداشتم بخاطر کیفیت ساخت اپل و طول عمرش میخام بخرم. و میخام روش کلش بازی کنم.البته لینک کنم چون الان روی اندروید دارمش مشکلی ایجاد نمیشه,Neutral,Agree,148,Neutral,Agree
5700000 تومنیعنی 1600 دلاردست گلتون درد نکنههرکی با این قیمت اینو بخره آقش میکنم!,Neutral,Neutral,59,Neutral,Neutral
» در پاسخ به نظر آرش ر به تاریخ 1395/1/9 (برای نمایش نظر کلیک کنید...) سلام.جواب سوال شما این هست که شرکت اپل روی محصولاتش سیمکارت پیشفرض خودش رو میزاره و پلمپ هستش ولی چون تو ایران اوپراتوری نیست که این سیمکارت کار کنه.برای همین برای این جور کشور ها سیمکارتی توش نمیزاره.,Neutral,Neutral,187,Neutral,Neutral
» در پاسخ به نظر mahya k به تاریخ 1395/1/8 (برای نمایش نظر کلیک کنید...) دقیقا درسته هیچی جای کامپیوتر رو نمیگیره. البته اگر استفاده ی دوستان از تبلت وب گردی و بازی و فیلم دیدن باشه شاید. اونم نه به خوبی پی سی. اما کاربردهای کامپیوتر خیلی بیشتر از ایناست. ---------اپل دیوایسهای بسیار با کیفیت و زیبایی میسازه ولی واقعا قیمتش بیش از ارزش دستگاه هاشه.,Neutral,Neutral,240,Neutral,Agree
سلام یه سوال داشتم اگه مشه کمکم کنید. منم منتظر آپید پرو جدید هستم چون واقعا ارزش خریدنشو داره. مشکل در مورد سیم کارتش هست. قضیه اش چیه؟؟؟ نوشته سیم کارت اپل؟؟؟یعنی منظورش چیه؟؟؟ سیم کارت معمولی میخوره یا نه؟؟؟ میشه هر کی میدونه و اطلاعاتی داره برام توضيحش بده. تشکر,Neutral,Neutral,211,Neutral,Neutral
» در پاسخ به نظر mahsa m به تاریخ 1395/1/4 (برای نمایش نظر کلیک کنید...) هیچ وقت تبلت آدم رو از پی سی بی نیاز نمی کنه.از هر جهتی هم فکر بکنید این تبلت آخرش یه سیستم عامل محدود موبایلی رو روی خودش داره.شخص من خیلی بهش علاقمندم چون آدم رو از داشتن کاغذ و قلم(اونم در صورت دادن 500 هزار اضافه برای قلمش) بی نیاز میکنه.البته شخصا اگر تبلت جدید نوت وارد بازار بشه به سمت اون می رم چون اون برای نوشتن بهینه تره.,Neutral,Neutral,291,Agree,Neutral
اگر هم قیمت ایر دو باشه خوبه برعکس ایفون اس ایی این تبلت حداقل ده اینچ صفحه و باطری معقولی داره و میشه ازش استفاده های مفید کرد کاش قابلیت نصب ویندوز داشت و هک میشد واقعا پلتفرم بسته اپل کارکردهای تبلت و محدود میکنه خیلی,Neutral,Disagree,157,Neutral,Disagree
» در پاسخ به نظر میثم م به تاریخ 1395/1/5 (برای نمایش نظر کلیک کنید...) ...لامصب ios بهترین سیستم عامله که مال اپله حیف که اندروید نیست!تبلت کوچیکتر میخوای باید آیپد مینی 4 رو بخری,Disagree,Agree,125,Neutral,Agree
» در پاسخ به نظر میثم م به تاریخ 1395/1/5 (برای نمایش نظر کلیک کنید...) سلام اگه تبلت 8 اینچ میخوای باید دنبال z3 تبلت بگردی سوال بعدی مثل این که رام این تبلت 2 هست چرا اخه اپل ناقصش کرد البته از یه بابت قیمتش هم نسبت به 13 اینچی پرو باید کمتر باشه,Neutral,Disagree,177,Neutral,Disagree
فقط حیف که اولا بزرگه کاش 8 ابنچ بودو دوما از همه مهمتر اندروید نیست!,Agree,Disagree,53,Neutral,Neutral
"هميشه دلم ميخاست اپل يه همچين آيپدى با اين مشخصات توليد كنه داشتن اين آيپد كاربر رو از داشتن كامپيوتر بى نياز ميكنه البته فقط به دوستان سفارش ميكنم هيچوقت آيپد با حجم پايين نخريد چون آيپد با آيفون از لحاظ كاركرد حجمى بسيار متفاوته ، من خودم شخصا هر آيفونى كه گرفتم با حجم ١٦ گيگ بوده و هميشه هم هفت هشت گيگ خالى داشتم اما آيپد قضيش خيلى فرق ميكنه سه سال قبل وقتى كه آيپد حجم ١٢٨ رو ارائه دادند آيپد با اين حجم خريدارى كردم و الان هم منتظرم اين آيپد به بازار بياد و حجم ٢٥٦ گيگ اونو بگيرم اين دستگاه از هر نظر بى همتا و فوق العاده ست مرسى كه نظرمو خوندين",Neutral,Agree,429,Neutral,Agree
سلام خیلی خیلی خوشحال شدم درست چند ماه پیش میخواستم یه آیپد ایر 2 بخرم که خبر هایی از ایر 3 شنیدم که بعدا اسمش تغییر کرد این چند ماه ارزش داشت که وایستم چون تا الان در سری آیپد ها نمونه ای رو ندیدم که مثل این کامل باشه بسیار زیباست فقط موندم چرا 64 گیگ نزاشته که اونم سیاست شرکته فکر کنم خدا کنه هر چه زود تر بیاد چون خودم اولین مشتریشم . یا علی,Neutral,Agree,260,Neutral,Agree
"» در پاسخ به نظر سید پیمان ط به تاریخ 1401/4/19 (برای نمایش نظر کلیک کنید...) سلام ، تجربه ای که با مجیک کیبورد از این ایپد میگیرین واقعا فوق العاده هستش ، به نظرم یک مجیک کیبورد دست دوم در حد گیر بیارین عالی میشه ،یا اگر هم نتونستین از کیبورد فولیو استفاده کنید ، البته که فولیو فرقش با مجیک کیبورد در این هست که ترک پد و نور پس زمینه کیبورد نداره",Neutral,Agree,235,Neutral,Agree
"سلام دوستان روزتون بخیر، ازونجایی که مجیک کیبورد خیلی گرونه به نظرتون کیف کیبورد دار شرکت دوکس دوکیس چطوره و کسی تجربه استفاده ازشو داره؟ ایا میارزه به جای 12 تومن پول مجیک کیبورد سه تومن دادو اینو خرید؟ با تشکر",Neutral,Neutral,152,Neutral,Neutral
"» در پاسخ به نظر mojtaba s به تاریخ 1400/7/10 (برای نمایش نظر کلیک کنید...) سلام ، هم میشه براحتی فیلم دانلود کنی و هم هارد و فلش وصل کنی بهش ولی چون نسبت تصویرش4به3 هست اکثر فیلما هم بالا پایین کادر مشکی داره متاسفانه زیاد حس خوبی از اسکرین نمیگیری مثل مک بوک و سایر لبتاب ها ولی در عوض برای بازی کردن و برنامه های ادوبی و ... حرف نداره و حتما برنامه vlc هم برای فیلم دیدن دانلود کن، حرف نداره",Agree,Neutral,269,Neutral,Neutral
"» در پاسخ به نظر عباس ن به تاریخ 1400/12/18 (برای نمایش نظر کلیک کنید...) ایپد دنیایی دیگست ، مخصوصا وقتی مجیک کیبوردم تهیه کنی براش ،بدون لگ و باگ ،روون و سریع . محدودیت عجیب غریبی هم نداره یکیش اینه که باید اکثر برنامه هایی که استفاده میکنی مثل ورد ماکروسافت و وی پی ان ها و ....اشتراکشون رو خریداری کنی و اگر نخواستی هم برنامه های جایگذینش هست مثلا من به جای خرید اشتراک ورد از polaris و ao office استفاده میکنم .یک موضوع دیگه این هست که اکثر اپ های ایرانی روی ایپد ساپورت نمیشه و فقط تعداد محدودی ازشون رو میتونی به صورت میانبر به هوم اسکرین اضافه کنی بر نامه های مود و کرک شده هم نمیتونه روی ایپد او اس داشته باشی و یک نکته مهم رو بگم بهت متاسفانه نمیتونی هیچ دیوایس اندروییدی به ایپد متصل کنی و تبادل اطلاعات بین ایپد و دیوایس اندرویید داستان داره ، بلوتوث که نمیتونی ، از شریت و زاپیا هم بخوایی استفاده کنی پیر میشی هم صورتش پایینه هم گاها ناجور باگ میگیره .",Neutral,Agree,595,Neutral,Agree
"» در پاسخ به نظر صادق ج به تاریخ 1401/2/2 (برای نمایش نظر کلیک کنید...) ابتدا تو این سایت به صورت اینترنتی شکایت کردمhttps://ttu.ir/%D8%AA%D9%85%D8%A7%D8%B3-%D8%A8%D8%A7-%D9%85%D8%A7/و بعد خودشون بهم زنگ زدن،درسته که گارانتی خیلی اذیتم کرد ولی خداروشکر با یه دستگاه جدید تعویض کردن،حتما اگر به همچین مشکل هایی خدایی نکرده رو به رو شدید پیگیری کنید تا حقتون رو بگیرید! چقدر از افرادی که ایرپاد مشکل دار خریده بودن و گارانتی پاسخگو نبود و اینقدر با بهانه و مغلطه و زرنگ بازی جواب مشتری رو میداد که انگار نه انگار گارانتی باید خدمات ارائه بده!خود فروشنده علاالدین من رو راهنمایی کرد که چطوری شکایت کنم ازشون و اونطور که معلوم بود فروشنده ها هم از کار با این شرکت گارانتی آوا طنین همراه راضی نبودن.",Neutral,Disagree,480,Neutral,Neutral
"» در پاسخ به نظر RAD 0 به تاریخ 1401/3/6 (برای نمایش نظر کلیک کنید...) من به صورت اینترنتی اطلاعاتم و اتفاقی که برام افتاد رو تو سایت اتحادیه اصناف وسایل هوشمند قسمت شکایات آپلود کردم که ۵ روز بعد با من تماس گرفتن که آیپد رو ببرم و یکی از مسئولان گارانتی هم اومده بود،آیپد را زیر یک دستگاهی مثل میکروسکوپ گذاشتن و چک کردن و گفتن در اثر ضربه بوجود نیومده و از هر ۱۰۰۰ دستگاه یکی اینطوری میشه،خلاصه که من پیگیری های زیادی کردم و اتحادیه گارانتی رو ملزم کرد که یه آیپد جدید بهم بده و تو یک اردیبهشت صاحب یک آیپد بی نقص شدم و شانس آوردم وگرنه که مسئولان این گارانتی خیلی مغلطه کارانه و بد با من برخورد کردن!",Neutral,Disagree,444,Neutral,Neutral
» در پاسخ به نظر عباس ن به تاریخ 1400/12/18 (برای نمایش نظر کلیک کنید...) نمی‌دونم تا حالا انتخابت را کردی یا نه ولی مطمئن باش هیچ تبلت اندرویدی به هیچ وجه در هیچ زمینه ای نمیتونه با این آیپد پرو اپل رقابت کنه در هر زمینه ای که فکرشو بکنید این تبلت بهتره,Disagree,Agree,181,Neutral,Agree
» در پاسخ به نظر معصومه ه به تاریخ 1401/1/27 (برای نمایش نظر کلیک کنید...) متاسفانه توی ایران گارانتی معنای خاصی نداره و تقریبا اصلأ هم مهم نیست چون اعتباری نداره.. اسم گارانتی آنوقت اعتبار داره که گوشی ها یا تبلت هایی که می‌خرید در کشور ما برندهاشون نمایندگی اصلی داشته باشند که ندارند و اگه هم داشته باشند محدود به یکی دو تا برند!!!! هست که مطمئنا اپل جزو آنها نیست....همان لحظه که خریدید باید آیپد خودتان را تست می کردید بعد از چند روز متاسفانه خیلی سخت میشه براش کاری کرد طبیعتاً فروشنده شما را مقصر آسیب دیدن صفحه نمایش می‌دونه هر چند که شما اصلأ در این مورد تقصیری نداشته باشید,Neutral,Disagree,423,Neutral,Neutral
» در پاسخ به نظر معصومه ه به تاریخ 1401/1/27 (برای نمایش نظر کلیک کنید...) حتما ازشون شکایت کندر ایران گارانتی فقط برا گرون فروختن فروشندها خوبه و هیچ منفعتی برا مصرف کننده نداره,Disagree,Neutral,127,Neutral,Neutral
سلام دوستان من ۱۷ اسفند یه آیپد پرو ۱۲.۹ با گارانتی شش ماه تعویض شرکت آواطنین همراه از طبقه ششم علاالدین خریدم.همون شب با عوض کردن والپیپر به رنگ سفید متوجه پیکسل سوختگی به اندازه‌ی دو میلی متر در وسط صفحه شدم و ۴ روز بعد بردم گارانتی که بهانه آورد خانم شما خودت به این ضربه وارد کردی!با پا از روش رد شدی! از دستت افتاده!(در حالی که همون موقع براش گلس ضد ضربه انداختم و نه گلس و نه اسکرین خود آیپد یک خراش کوچیک نداره و خم هم‌نشده!)خلاصه هر بهانه دروغ و تهمتی که بود به من نسبت دادن که از دادن خدمات شونه خالی کنن و ته لطفشون این بود که بگن ۶ میلیون بده برات همین الان تعویض کنیم!انگار مثلا ما پول مفت داریم...یا خودت برو اپل استور دبی برات تعویض کنن!این گارانتی واقعا ... هست و کارمندان ...داره!به هیچ عنوان وسیله ای رو با گارانتی این شرکت نخرید!معلوم نیست چجوری اجناس رو وارد میکنن که اینقدر دچار مشکل میشن چون با چند نفر آدم شاکی از این گارانتی تو توییتر هم آشنا شدم.و اینکه به اتحادیه هم شکایت اینترنتی کردم و میخواستم بپرسم که آیا شما هم تجربه مشابه داشتید؟ و اینکه هر راه دیگه ای هم برای شکایت باشه لطفا بهم معرفی کنید تا انجام بدم.خیلی ممنون✨️,Neutral,Disagree,768,Neutral,Neutral
این تبلت فوقعلادست به معنیه واقعیه کلمه هیچی کم نداره راحت تا 7 سال میتونه کارکنه بعد 7 سال فقط به دو دلیل ممکنه بخوایید عوضش کنید 1-به دلیل مشکل باتری2-به دلیل خواهان استفاده از تکنولوژیهایه جدید که در سالهایه اینده خواهند امد,Agree,Neutral,165,Neutral,Neutral
» در پاسخ به نظر عباس ن به تاریخ 1400/12/18 (برای نمایش نظر کلیک کنید...) شک نکن آیپداگر بودجت میرسه پرو بگیر بهترین دیسپلی آیپدهارو داره اگرنه همین آیپد ایر M1 رو بگیر,Neutral,Agree,116,Neutral,Agree
"دوستان سلامسوالی دارم که ممنون می شم راهنمایی کنین.من می خوام یه تبلت بخرم برای کارم. برای نوت برداریخواندن زبانتدریستماشای ویدیوی آموزشیو ...اهل بازی نیستم.کیفیت برام خیلی مهم هست و برای همین، با اینکه مدل های لایت تبلت ها هم، کار من و راه می اندازه، ولی من یکی از تبلت های رده بالا رو می خوام بخرم.بین سامسونگ S8 یا S8+و ipad air گیر کردم.از طرفی کیفیت اپل بی نظیره، از طرفی هم من تا حالا اپل نداشتم و همش دیوایس اندرویدی داشتم. نگران محدودیت های اپل هستم. البته من دارم از ایران می رم.کسی تجربه با ipad در مورد موارد بالا داشته و اینکه محدودیت ها اذیت نکردن؟منظورم از محدودیت مواردی مثل جابجایی اطلاعات بین تبلت و دیوایس های مختلف، نصب نرم افزار، و ... هست.نهایتا ممنون می شم راهنمایی کنین که اندوریدی بگیرم یا اپل برای کارم؟",Neutral,Neutral,509,Neutral,Neutral
» در پاسخ به نظر داود م به تاریخ 1400/12/14 (برای نمایش نظر کلیک کنید...) سلام.نه داوود جون امتحان کردم وقتی چسبیدست دائم شارژ میشه و روی 100درقد نگه میداره. توی سیتینگ هم این قابلیت رو نداشت.بله قلمم اورجيناله,Agree,Neutral,150,Neutral,Neutral
» در پاسخ به نظر صادق ج به تاریخ 1400/12/5 (برای نمایش نظر کلیک کنید...) باطری بین 20تا80 بیشتر در مورد تبلت وگوشی صدق میکنه ونه قلم وانا در مورد چسپیده بودن بعد از این که باطری کامل شارژ بشه تبلت به صورت هوشمند شارژ قطع میکنه واگه قلمتون اصلی باشه حداقل تا چند سال خراب نمیشه اما در قلم های فیک یه قضیه کاملا جدا هست,Neutral,Neutral,223,Neutral,Neutral
دوستان اگر قلم آیپد دائم بهش چسبیده باشه برا باتری قلم ضرر نداره که دائم فوا شارژ باشه؟ آخه میگن شارژ بین 20تا 80درصد نگهداریم این برا قلم اپل هم صدق میکنه؟ از طرفی امکان اینکه شارژ شدن قلم رو هنگام وصل به آهنربای کناریش نمیشه قطع کرد و خودبه خود شارژ میشه,Neutral,Neutral,194,Neutral,Neutral
